Material,Substitutions,Tc (K),Pressure (GPa),Classes,Shape,Substrate,DOI
Ba 0.4 K 0.6 Fe 2 As 2,{},31.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 0.4 Ba 1.25 La 1.25 Cu 3 O 6.98,{},40.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mo 0.39 Ru 0.61,{},6.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Tm 4 Os 6 Sn 19,{},1.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nd Bi 0.99 Pb 0.01 S 2 F 0.3 O 0.7,{},4.85,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
V 0.784 Ga 0.172 Al 0.044,{},9.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.71 Sr 0.29 Cu 0.94 Co 0.06 O 4,{},33.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
N 0.82 V,{},2.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Be 0.86 Pb 0.14,{},9.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 3 Sn 0.85 Tl 0.15,{},18.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pb 0.5 Cu 0.5 Sr 0.9 La 1.1 Cu O 5.16,{},28.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nd 1.1 Ba 1.9 Cu 3 O 6.96,{},87.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.887 Ba 1.962 Ca 0.15 Cu 4 O 8,{},91.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba 0.33 Hf N Cl,{},20.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2 Cu 0.975 V 0.025 O 4.032,{},40.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm 12 Cu 2.96 Ni 0.04 O 6.88,{},83.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu 1.5 Mo 4.5 S 6,{},10.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.997 Tb 0.003,{},5.28,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.9 Ce 0.1 Ni 2 B 2 C,{},11.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2.963 Gd 0.037 In,{},5.04,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pd 2 Zr 0.9 Nb 0.1 Al,{},2.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ru 0.8 Sr 2 Y Cu 2.2 O 8.1,{},65.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.76 Co 0.24 O 6.999,{},50.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2.955 Gd 0.045 In,{},4.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 2.5 Sn V 0.5,{},14.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.73 Sr 0.27 Cu 0.94 Mn 0.06 O 4,{},37.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ho 0.75 Y 0.25 Ni 2 B 2 C,{},8.9,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ga 0.25 Fe 0.75 Se 0.85,{},6.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Zr 54.6 Ti 23.4 Ni 22,{},2.78,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr 0.7 Ba 1.3 Y Cu 2.8 Al 0.2 O 7.11,{},20.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca Hg 3,{},1.6,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi Ga Sr 1.8 Ca 1.2 Cu 2 O 8,{},24.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.35 Pr 0.65 Ba Sr Cu 3 O 6.9,{},20.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Gd 0.2 Nd 1.65 Ce 0.15 Cu O 4,{},18.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb C 0.2 N 0.74,{},17.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Pr Os 3.8 Ru 0.2 Sb 12,{},1.655,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 Sr 1.6 Pr 0.4 Cu O 6.313,{},21.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 4 Sr 3 Ca 2.7 Y 0.3 Cu 4 O Y,{},81.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Mo 0.8 W 0.2 C,{},12.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ga 0.02 Sn 0.98,{},3.726,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Er 0.95 Gd 0.05 Rh 4 B 4,{},7.61,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Au 0.499 Ga 0.501,{},1.17,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
In 0.17 Tl 0.83,{},3.45,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.78 Sr 0.22 Cu 0.98 Zn 0.02 O 4,{},9.555,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
K 0.82 Fe 1.63 Se 2,{},32.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.82 Nd 0.03 Sr 0.15 Cu O 4,{},34.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.887 Ca 0.113 Cu O 4,{},20.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba Fe 1.83 Zn 0.06 Co 0.11 As 2,{},17.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al 0.08 Au 0.92,{},0.088,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Fe 0.5 Ba Sr Tm Cu 2.5 O 7.432,{},40.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.825 Ba 0.175 Cu O 4,{},26.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.5 Er 0.5 Ba 2 Ca Cu 5 O 11.907,{},78.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sm 0.96 La 0.84 Sr 0.2 Cu O 4,{},35.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Cu 0.5 P 0.5 Sr 2 Ca 1.8 Y 0.2 Cu 3 O 9.55,{},80.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Sr Ga 0.5 Si 1.5,{},3.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ca 0.4 La 1.25 Ba 1.35 Cu 3 O 7.135,{},76.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.995 Ta 0.005,{},9.226,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Fe Se 0.5 S 0.5,{},2.75,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ce Rh In 4.84 Sn 0.16,{},1.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y 0.8 Ca 0.2 Ba 2 Cu 2.8 Co 0.2 O 6.98,{},82.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Na 0.32 Co H 2.6 O 3.3,{},2.825,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Bi 2 Sr 2.4 Ca 0.6 Cu 2 O 8,{},94.2,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.751 Ba 0.249 Cu O 4,{},13.7,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.5 Y 0.5 Fe As O 0.6,{},39.3,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 2 Pt 3 Ge 5,{},8.1,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Al 0.75 Ge 0.25 Nb 3.8,{},20.34,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.7 Er 0.3 Ba 2 Ca 0.6 Cu 4.6 O 10.92,{},70.0,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La Fe 1.0 Mn 0.0 As F 0.11 O 0.89,{},23.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Y Ba 2 Cu 2.97 Zn 0.03 O 6.63,{},42.5,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ba 0.635 K 0.365 Bi O 3,{},30.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 1.85 Sr 0.016 Ca 0.074 Ba 0.06 Cu O 4.01,{},25.4,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Ga 0.1 Fe 0.9 Se 0.85,{},6.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
Nb 0.64 Ta 0.36,{},6.8,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
La 0.97 Nd 0.03 Pt Si,{},3.27,0.0,"['Oxides', 'Cuprates']",,,10.1038/s41524-018-0085-8
