Material,Substitutions,Tc (K),Pressure (GPa),Classes,Shape,Substrate,DOI
In O x,{'x': []},2.8,0.0,['Oxides'],films,,10.1103/physrevb.99.054515
In O,{},2.0,0.0,['Alloys'],films,,10.1134/1.568304
Pr Ru 2 Si 2,{},14.0,0.0,['Alloys'],,,10.1088/0953-8984/12/34/307
Lu 3 Os 4 Ge 13,{},2.85,0.0,['Alloys'],,,nan
La Mn O 3.04,{},125.0,0.0,['Oxides'],,,10.1103/physrevlett.87.127206
La Mn O 3.045,{},130.0,0.0,['Oxides'],,,10.1103/physrevlett.87.127206
(Li 1-x Fe x) O H Fe Se,{'x': []},40.0,0.0,"['Hydrides', 'Iron-chalcogenides', 'Chalcogenides', 'Oxides']",,,10.1007/s11433-016-5782-z
(Li 1-x Fe x) O H Fe Se,{'x': []},50.0,0.0,"['Hydrides', 'Iron-chalcogenides', 'Chalcogenides', 'Oxides']",crystal,,10.1007/s11433-016-5782-z
Fe 1+x Se,{'x': []},8.0,0.0,['Alloys'],single crystal,,10.1007/s11433-016-5782-z
Fe Se,{},65.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",film,,10.1007/s11433-016-5782-z
S C F s,{'s': []},29.0,0.0,['Alloys'],,,10.1103/physrevb.93.024519
(Li 1-x Fe x O H) Fe Se,{'x': []},40.0,0.0,"['Hydrides', 'Iron-chalcogenides', 'Chalcogenides', 'Oxides']",,,10.1038/s41598-019-40536-3
Sr 2 Ru O 4,{},1.2,0.0,['Oxides'],,,10.7566/jpsj.89.034712
Ba Fe 1.9 Ni 0.1 As 2,{},20.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.98.014512
La H 10,{},260.0,170.0,"['Hydrides', 'Alloys']",,,10.1021/acs.inorgchem.9b02709
Sc 20 B C 27,{},7.7,0.0,"['Carbides', 'Borides']",,,10.1021/acs.inorgchem.9b02709
H 3 S,{},203.0,170.0,"['Hydrides', 'Chalcogenides']",,,10.1021/acs.inorgchem.9b02709
Mg B 2,{},39.0,0.0,"['Alloys', 'Borides']",,,10.1021/acs.inorgchem.9b02709
Nb 3 Sn,{},18.0,0.0,['Alloys'],,,10.1103/physrevb.65.224510
V 3 Si,{},17.0,0.0,['Alloys'],,,10.1103/physrevb.65.224510
Y 0.54 Pr 0.46 Ba 2 Cu 3 O 71-δ4,{'δ': []},38.0,0.0,"['Oxides', 'Cuprates']",,,10.1103/physrevb.73.144510
Fe Se 1-x,{'x': []},8.0,0.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1016/j.jmmm.2012.02.065
Fe Se 1-x,{'x': []},37.0,9.0,"['Iron-chalcogenides', 'Chalcogenides']",,,10.1016/j.jmmm.2012.02.065
Sr 4 Sc 2 Fe 2 As 2 O 6,{},37.2,0.0,[],,,nan
La Fe As O 1-x F x,{'x': []},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,nan
La Fe 2 As 2,{},12.1,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevresearch.1.033025
Cu (N (C N) 2) Br or Cu (S C N) 2,"{'o': [], 'r': []}",10.0,0.0,['Alloys'],,,10.1103/physrevlett.81.4232
Eu Fe 2 As 2,{},32.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1140/epjb/e2013-40483-6
Eu 0.2 Sr 0.8 (Fe 0.86 Co 0.14) 2 As 2,{},20.0,0.0,"['Iron-pnictides', 'Pnictides']",single crystal,,10.1140/epjb/e2013-40483-6
Ce Co In 5,{},2.3,0.0,['Alloys'],,,10.1142/9789814704090_0002
Ce Fe As O 1-x F x,{'x': [0.16]},41.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1142/9789814704090_0002
La O Fe P,{},3.2,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1007/s10948-019-05209-2
Nd Fe As 0.95 Sb 0.05 O 0.8 F 0.2,{},56.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1007/s10948-019-05209-2
La Fe As O,{},26.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1007/s10948-019-05209-2
Nd Fe As O 1-x F x,{'x': []},55.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1007/s10948-019-05209-2
Nd Fe As O 0.8 F 0.2,{},56.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1007/s10948-019-05209-2
Nd Fe As O 0.8 F 0.2,{},46.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1007/s10948-019-05209-2
Nd Fe As O 1-x F x,{'x': []},51.9,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1007/s10948-019-05209-2
Cu x Bi 2 Se 3,{'x': []},3.8,0.0,['Chalcogenides'],,,10.1103/physrevb.86.180505
Ba 0.6 K 0.4 Fe 2 As 2,{},36.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Li Fe As,{},55.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Li Fe As,{},55.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Li Fe As,{},15.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Na Fe As,{},54.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Li Fe As,{},55.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Li Fe As,{},55.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
(Ba 0.6 K 0.4) Fe 2 As 2,{},36.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Li Fe As,{},15.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.90.174502
Pr Os 4 Sb 12,{},1.85,0.0,['Alloys'],,,10.1143/jpsj.75.124702
Pr Os 4 Sb 12,{},0.74,0.0,['Alloys'],,,10.1143/jpsj.75.124702
La Os 4 Sb 12,{},0.74,0.0,['Alloys'],,,10.1143/jpsj.75.124702
La Os 4 Sb 12,{},0.74,0.0,['Alloys'],,,10.1143/jpsj.75.124702
Rh 9 In 4 S 4,{},2.25,0.0,['Chalcogenides'],,,10.1103/physrevb.93.094524
Rh 9 In 4 S 4,{},2.25,0.0,['Chalcogenides'],,,10.1103/physrevb.93.094524
Rh 9 In 4 S 4,{},2.25,0.0,['Chalcogenides'],,,10.1103/physrevb.93.094524
Rh 9 In 4 S 4,{},2.25,0.0,['Chalcogenides'],,,10.1103/physrevb.93.094524
Y Ni 2 B 2 C,{},15.4,0.0,"['Carbides', 'Borides']",single crystals,,10.1016/j.physc.2007.03.164
Y Ni 2 B 2 C,{},15.4,0.0,"['Carbides', 'Borides']",,,10.1016/j.physc.2007.03.164
Ba Fe 2 As 2,{},28.0,6.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.79.115128
La Fe As O,{},55.0,0.0,['Alloys'],,,10.1103/physrevb.79.115128
La Fe As O 1-x F x,{'x': [0.11]},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.83.174503
K x Fe 2 Se 2,{'x': []},30.0,0.0,['Alloys'],,,10.1103/physrevb.83.174503
Rb x Fe 2 Se 2,{'x': []},30.0,0.0,['Alloys'],,,10.1103/physrevb.83.174503
Cs x Fe 2 Se 2,{'x': []},30.0,0.0,['Alloys'],,,10.1103/physrevb.83.174503
Tl x Fe 2 Se 2,{'x': []},30.0,0.0,['Alloys'],,,10.1103/physrevb.83.174503
Sm O 1-x F x Fe As 7,{'x': []},55.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.83.174503
Ce 0.75 La 0.25 B 6,{},1.7,0.0,"['Alloys', 'Borides']",,,10.1143/jpsj.72.1859
Mg B 2,{},42.0,0.0,"['Alloys', 'Borides']",,,10.1088/0953-8984/16/39/r01
Ce Pt 3 Si,{},0.63,0.0,['Alloys'],single crystal,,10.1143/jpsj.76.114708
Ce Pt 3 Si,{},0.75,0.0,['Alloys'],,,10.1143/jpsj.76.114708
Nb N,{},16.0,0.0,['Nitrides'],films,,10.1103/physrevb.93.180511
Bi 2 Se 3,{},3.8,0.0,['Chalcogenides'],,,10.7566/jpsj.82.063702
Mo 3 Sb 7,{},2.35,0.0,['Alloys'],,,10.1103/physrevb.87.104515
Mo 3 Sb 7,{},2.08,0.0,['Alloys'],,,10.1103/physrevb.87.104515
La Fe As O 1-x F x,{'x': []},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevlett.108.047001
Ce Fe As O 1-x F x,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevlett.108.047001
Pr Fe As O 1-x F x,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevlett.108.047001
Nd Fe As O 1-x F x,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevlett.108.047001
Sm Fe As O 1-x F x,{'x': []},55.0,0.0,['Alloys'],,,10.1103/physrevlett.108.047001
Ti,{},3.5,0.0,[],,,nan
U Ru 2 Si 2,{},1.45,0.0,['Alloys'],,,10.1103/physrevlett.100.037004
La Fe As O 1-x F x,{'x': []},26.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1143/jpsjs.80sa.sa121
Cs 3 C 60,{},38.0,7.0,['Carbides'],,,10.1038/nphys4288
K 3 C 60,{},20.0,0.0,['Carbides'],,,10.1038/nphys4288
K 3 C 60,{},20.0,0.0,['Carbides'],,,10.1038/nphys4288
Nd Fe As O 1-x F x,{'x': [0.18]},50.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.92.134509
Nd Fe As O 1-x F x,{'x': []},34.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.92.134509
Ba (Fe 0.95 Co 0.05) 2 As 2,{},18.5,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.92.134509
K 0.4 Ba 0.6 Fe 2 As 2,{},38.0,0.0,"['Iron-pnictides', 'Pnictides']",,,10.1103/physrevb.92.134509
Nd Fe As O 1-x F x,{'x': []},32.5,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.92.134509
Nd Fe As O 1-x F x,{'x': []},35.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevb.92.134509
Nd Fe As O 0.85,{},51.0,0.0,"['Iron-pnictides', 'Oxides', 'Pnictides']",,,10.1103/physrevb.92.134509
Ce Fe As O 0.84 F 0.16,{},41.0,0.0,"['Iron-pnictides', 'Pnictides', 'Oxides', 'Fluorides']",,,10.1103/physrevlett.101.217002
