mp-id,Formula,Space Group,Stable,Energy Above Hull (eV/atom),Experimentally Observed,Predicted Tc (K),Predicted Tc Std. Dev. (K),Closest Known Superconductor,Closest Superconductor Distance,Log Probability of Superconductivity
mp-771950,K2MnO4,"['P2_1/c', 'Monoclinic']",False,0.0057388775000015,False,5.082424640655518,1.277751088142395,KMnO4,0.238095238095238,0.0
mp-1197864,Lu3Ge13Ir4,"['Pm-3n', 'Cubic']",False,0.0072804005833342,True,1.7796286344528198,0.5153554677963257,Lu5Ir4Ge10,0.2473684210526316,0.0
mp-1008776,SrC2,"['R-3m', 'Trigonal']",False,0.2015019429629623,False,7.10008716583252,1.9268985986709597,SrC6,0.3809523809523809,0.0
mp-1218269,SrLa3(Cu2O5)2,"['Pm', 'Monoclinic']",False,0.0257281941666542,False,54.457969665527344,4.796420097351074,La2SrCu2O6,0.101010101010101,0.0
mp-1218244,SrLa3(CuO4)2,"['Amm2', 'Orthorhombic']",False,0.0397429100111654,False,23.34185028076172,3.503413438796997,La2SrCu2O6,0.1168831168831169,0.0
mp-1218202,SrLaCuO4,"['I4mm', 'Tetragonal']",False,0.0114488746875061,False,22.876121520996094,3.9806840419769287,La2SrCu2O6,0.1558441558441558,0.0
mp-1517013,NaLi(WO3)4,"['Amm2', 'Orthorhombic']",False,0.0446536565188075,False,28.56726455688477,0.7813423871994019,WO3,0.2222222222222222,0.0
mp-672238,CeCuSb2,"['P4/nmm', 'Tetragonal']",True,0.0,True,1.8875521421432493,0.7669261693954468,Cu2Sb,0.8333333333333333,0.0
mp-1194415,K3Mn2O8,"['P2_1/m', 'Monoclinic']",False,0.0025073650349662,True,4.840089797973633,1.0322343111038208,KMnO4,0.1282051282051281,0.0
mp-18815,KVO3,"['Pbcm', 'Orthorhombic']",True,0.0,True,2.685208320617676,0.1720015853643417,V2O5,0.4,0.0
mp-1218623,Sr3La(CuO2)4,"['Pmc2_1', 'Orthorhombic']",False,0.0284600018750005,False,31.69893455505371,8.36981201171875,SrCuO2,0.125,0.0
mp-16787,K2V3O8,"['P4bm', 'Tetragonal']",True,0.0,True,3.603365659713745,0.9107846021652222,V2O5,0.3076923076923076,0.0
mp-27704,K3V5O14,"['P31m', 'Trigonal']",True,0.0,True,5.786467552185059,0.8966298699378967,V2O5,0.2727272727272727,0.0
mp-510713,K3Mn2O8,"['R-3m', 'Trigonal']",False,0.0067560904195804,True,6.020778656005859,1.4991945028305054,KMnO4,0.1282051282051281,-1.1920928244535389e-07
mp-1095679,Cu2BrO3,"['P2_1/m', 'Monoclinic']",False,0.0708694346875011,True,87.56930541992188,9.90285873413086,Cu3O6,0.3333333333333332,-1.1920928244535389e-07
mp-504636,K2MnO4,"['Pnma', 'Orthorhombic']",True,0.0,True,3.6340932846069336,1.2210735082626345,KMnO4,0.238095238095238,-1.1920928244535389e-07
mp-1025564,LuAl2Pd5,"['I4/mmm', 'Tetragonal']",True,0.0,False,8.115262985229492,3.576213359832764,Pd,0.75,-1.1920928244535389e-07
mp-1211704,K3VO8,"['I-42m', 'Tetragonal']",False,0.2434998106770836,False,3.8540117740631104,0.3647568523883819,KO3,0.1666666666666666,-1.1920928244535389e-07
mp-1184948,KMnO3,"['Pm-3m', 'Cubic']",False,0.2799126273409094,False,11.47698211669922,1.532835841178894,KMnO4,0.1333333333333333,-2.384185506798531e-07
mp-757932,Li4Mn7O16,"['C2/m', 'Monoclinic']",False,0.0607519379629737,False,35.44153594970703,2.549445152282715,O7,0.8148148148148149,-2.384185506798531e-07
mp-1178367,Dy2CuO4,"['I4/mmm', 'Tetragonal']",False,0.0399781971428545,False,29.58189010620117,0.5934552550315857,Dy2O3,0.2857142857142857,-2.384185506798531e-07
mp-1227231,CaBeGe,"['P-6m2', 'Hexagonal']",False,0.0484052660256404,False,1.277949571609497,0.598639190196991,CaBe2Ge2,0.2666666666666667,-2.384185506798531e-07
mp-18761,K3V3O8,"['P-3m1', 'Trigonal']",True,0.0,True,7.671499729156494,0.916470229625702,V2O5,0.4285714285714286,-2.384185506798531e-07
mp-10898,ScAlNi2,"['Fm-3m', 'Cubic']",True,0.0,True,1.2511597871780396,0.9136516451835632,Ni3Al,0.5,-3.576278118089249e-07
mp-1024941,YB2Rh3,"['P6/mmm', 'Hexagonal']",True,0.0,True,3.0601966381073,1.2014514207839966,YRh4B4,0.2222222222222222,-3.576278118089249e-07
mp-1208557,TaSiNi,"['Pnma', 'Orthorhombic']",True,0.0,False,-0.3547401428222656,0.4629684090614319,NiTa2,0.6666666666666666,-4.768370445162873e-07
mp-21318,PtPb2,"['I4/mcm', 'Tetragonal']",False,0.0304999044444436,True,1.9442391395568848,0.8056759834289551,Pb4Pt,0.2666666666666667,-5.960462772236497e-07
mp-725644,AsPb2Cl2O3,"['P2_1/m', 'Monoclinic']",False,0.1721659012760215,True,12.997068405151367,1.1267625093460083,ClO4,0.8500000000000001,-5.960462772236497e-07
mp-567362,BiTe,"['Fm-3m', 'Cubic']",False,0.1042585575000023,True,10.65002155303955,2.5874578952789307,Bi4Te3,0.1428571428571428,-7.152555099310121e-07
mp-1220401,Nb4Pd,"['Fmmm', 'Orthorhombic']",False,0.0225370139999991,False,6.567743301391602,1.3564234972000122,Nb3Pd,0.1,-9.536738616588992e-07
mp-19438,LiMnO4,"['Cmcm', 'Orthorhombic']",False,0.1617353778333363,True,25.924182891845703,0.8940054774284363,O7,0.6666666666666667,-1.0728830375228426e-06
mp-1221439,Na4Li5(WO3)10,"['P1', 'Triclinic']",False,0.0546849907958773,False,17.54004669189453,1.5944191217422483,WO3,0.3673469387755101,-1.0728830375228426e-06
mp-758228,Li13Mn8O24,"['C2', 'Monoclinic']",False,0.0622816151555563,False,28.13668441772461,3.251520156860352,O7,0.9333333333333332,-1.311301275563892e-06
mp-1200488,K3V2O12,"['P2_1/c', 'Monoclinic']",False,0.4199053309926572,True,4.411550521850586,0.8163742423057556,KO3,0.2352941176470587,-1.6689286894688848e-06
mp-5373,Y2Ti2O7,"['Fd-3m', 'Cubic']",False,0.0091973797727487,True,0.993960976600647,0.9747313261032104,YTiO3,0.0727272727272727,-1.6689286894688848e-06
mp-758586,Li13Mn8O24,"['P2/m', 'Monoclinic']",False,0.0684395682666663,False,29.403240203857425,3.1092209815979004,O7,0.9333333333333332,-1.9073468138230965e-06
mp-758698,Li13Mn8O24,"['P-1', 'Triclinic']",False,0.0642416709333328,False,29.17819023132324,3.1163229942321777,O7,0.9333333333333332,-2.145764938177308e-06
